,Holder,Shares,Date Reported,% Out,Value
0,Vanguard Total Stock Market Index Fund,442938060,2021-12-30,0.0274,78652511314
1,Vanguard 500 Index Fund,330076468,2021-12-30,0.0204,58611678422
2,SPDR S&P 500 ETF Trust,167069310,2022-02-27,0.0103,27586484467
3,Fidelity 500 Index Fund,159613829,2022-02-27,0.009899999999999999,26355435444
4,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",142428438,2022-03-30,0.0088,24869429559
5,iShares Core S&P 500 ETF,134413332,2022-03-30,0.0083,23469911900
6,Vanguard Growth Index Fund,123716176,2021-12-30,0.0076,21968281372
7,Vanguard Institutional Index Fund-Institutional Index Fund,117436912,2021-12-30,0.0073,20853272463
8,Vanguard Information Technology Index Fund,76606032,2022-02-27,0.004699999999999999,12649188003
9,Select Sector SPDR Fund-Technology,63623339,2022-03-30,0.0039000000000000003,11109271222
