,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Intangible Assets,7800000000.0,7038000000.0,7750000000.0,8053000000.0
Total Liab,191791000000.0,183007000000.0,184226000000.0,176130000000.0
Total Stockholder Equity,141988000000.0,118304000000.0,102330000000.0,82718000000.0
Other Current Liab,52612000000.0,46001000000.0,45860000000.0,38195000000.0
Total Assets,333779000000.0,301311000000.0,286556000000.0,258848000000.0
Common Stock,83111000000.0,80552000000.0,78520000000.0,71223000000.0
Other Current Assets,13471000000.0,11517000000.0,10133000000.0,6855000000.0
Retained Earnings,57055000000.0,34566000000.0,24150000000.0,13682000000.0
Other Liab,31681000000.0,34492000000.0,35699000000.0,35707000000.0
Good Will,49711000000.0,43351000000.0,42026000000.0,35683000000.0
Treasury Stock,1822000000.0,3186000000.0,-340000000.0,-2187000000.0
Other Assets,15075000000.0,13138000000.0,14723000000.0,7442000000.0
Cash,14224000000.0,13576000000.0,11356000000.0,11946000000.0
Total Current Liabilities,88657000000.0,72310000000.0,69420000000.0,58488000000.0
Deferred Long Term Asset Charges,7181000000.0,6405000000.0,7536000000.0,1369000000.0
Short Long Term Debt,8072000000.0,3749000000.0,5516000000.0,3998000000.0
Other Stockholder Equity,1822000000.0,3186000000.0,-340000000.0,-2187000000.0
Property Plant Equipment,70803000000.0,52904000000.0,43856000000.0,36146000000.0
Total Current Assets,184406000000.0,181915000000.0,175552000000.0,169662000000.0
Long Term Investments,5984000000.0,2965000000.0,2649000000.0,1862000000.0
Net Tangible Assets,84477000000.0,67915000000.0,52554000000.0,38982000000.0
Short Term Investments,116032000000.0,122916000000.0,122476000000.0,121718000000.0
Net Receivables,38043000000.0,32011000000.0,29524000000.0,26481000000.0
Long Term Debt,50074000000.0,59578000000.0,66662000000.0,72242000000.0
Inventory,2636000000.0,1895000000.0,2063000000.0,2662000000.0
Accounts Payable,15163000000.0,12530000000.0,9382000000.0,8617000000.0
