,Holder,Shares,Date Reported,% Out,Value
0,"Vanguard Group, Inc. (The)",621598157,2022-03-30,0.08310000000000001,191644927784
1,Blackrock Inc.,523749870,2022-03-30,0.07,161477322419
2,State Street Corporation,300098242,2022-03-30,0.0401,92523288991
3,"FMR, LLC",210344695,2022-03-30,0.0281,64851372915
4,Price (T.Rowe) Associates Inc,195303799,2022-03-30,0.026099999999999998,60214114269
5,"Geode Capital Management, LLC",133424701,2022-03-30,0.0178,41136169565
6,Capital World Investors,104707015,2022-03-30,0.013999999999999999,32282219794
7,Northern Trust Corporation,86713343,2022-03-30,0.0116,26734590780
8,Capital International Investors,86682397,2022-03-30,0.0116,26725049819
9,Capital Research Global Investors,86423951,2022-03-30,0.0116,26645368332
