,Holder,Shares,Date Reported,% Out,Value
0,Vanguard Total Stock Market Index Fund,213367630,2021-12-30,0.0285,71759801321
1,Vanguard 500 Index Fund,158999835,2021-12-30,0.0213,53474824507
2,SPDR S&P 500 ETF Trust,80467340,2022-02-27,0.0108,24042836518
3,Fidelity 500 Index Fund,76887689,2022-02-27,0.0103,22973272596
4,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",65429167,2022-03-30,0.0087,20172466477
5,iShares Core S&P 500 ETF,64996962,2022-03-30,0.0087,20039213354
6,Vanguard Growth Index Fund,59595353,2021-12-30,0.008,20043109120
7,Vanguard Institutional Index Fund-Institutional Index Fund,56570678,2021-12-30,0.0076,19025850424
8,Growth Fund Of America Inc,54293909,2021-11-29,0.0073,17949023376
9,Select Sector SPDR Fund-Technology,33880781,2022-03-30,0.0045000000000000005,10445783590
