,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Intangible Assets,11348000000.0,7462000000.0,7794000000.0,7800000000.0
Total Liab,181683000000.0,180379000000.0,183440000000.0,191791000000.0
Total Stockholder Equity,162924000000.0,160010000000.0,151978000000.0,141988000000.0
Other Current Liab,47391000000.0,46346000000.0,52622000000.0,52612000000.0
Total Assets,344607000000.0,340389000000.0,335418000000.0,333779000000.0
Common Stock,85767000000.0,84528000000.0,83751000000.0,83111000000.0
Other Current Assets,13353000000.0,12301000000.0,12982000000.0,13471000000.0
Retained Earnings,79633000000.0,75045000000.0,66944000000.0,57055000000.0
Other Liab,31159000000.0,30584000000.0,30157000000.0,31681000000.0
Good Will,67371000000.0,50921000000.0,50455000000.0,49711000000.0
Treasury Stock,-2476000000.0,437000000.0,1283000000.0,1822000000.0
Other Assets,21845000000.0,21256000000.0,21103000000.0,15075000000.0
Cash,12498000000.0,20604000000.0,19165000000.0,14224000000.0
Total Current Liabilities,77439000000.0,77510000000.0,80528000000.0,88657000000.0
Short Long Term Debt,1749000000.0,4998000000.0,3249000000.0,8072000000.0
Other Stockholder Equity,-2476000000.0,437000000.0,1283000000.0,1822000000.0
Property Plant Equipment,83214000000.0,79568000000.0,75347000000.0,70803000000.0
Total Current Assets,153922000000.0,174188000000.0,174326000000.0,184406000000.0
Long Term Investments,6907000000.0,6994000000.0,6393000000.0,5984000000.0
Net Tangible Assets,84205000000.0,101627000000.0,93729000000.0,84477000000.0
Short Term Investments,92162000000.0,104744000000.0,111419000000.0,116032000000.0
Net Receivables,32613000000.0,33520000000.0,27349000000.0,38043000000.0
Long Term Debt,48177000000.0,48260000000.0,50039000000.0,50074000000.0
Inventory,3296000000.0,3019000000.0,3411000000.0,2636000000.0
Accounts Payable,16085000000.0,15314000000.0,14832000000.0,15163000000.0
Deferred Long Term Asset Charges,,,,7181000000.0
