,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Investments,9069000000.0,5643000000.0,4183000000.0,-4334000000.0
Change To Liabilities,311000000.0,-4108000000.0,-3356000000.0,13014000000.0
Total Cashflows From Investing Activities,-16171000000.0,-1161000000.0,-3250000000.0,-10853000000.0
Net Borrowings,-4197000000.0,-4197000000.0,-4826000000.0,-4826000000.0
Total Cash From Financing Activities,-17345000000.0,-11986000000.0,-16276000000.0,-11371000000.0
Change To Operating Activities,1092000000.0,1760000000.0,-3551000000.0,799000000.0
Issuance Of Stock,477000000.0,291000000.0,612000000.0,450000000.0
Net Income,16728000000.0,18765000000.0,20505000000.0,16458000000.0
Change In Cash,-8106000000.0,1439000000.0,4941000000.0,522000000.0
Repurchase Of Stock,-8822000000.0,-7433000000.0,-7684000000.0,-7177000000.0
Effect Of Exchange Rate,24000000.0,106000000.0,-73000000.0,36000000.0
Total Cash From Operating Activities,25386000000.0,14480000000.0,24540000000.0,22710000000.0
Depreciation,3773000000.0,3496000000.0,3212000000.0,2558000000.0
Other Cashflows From Investing Activities,-1181000000.0,-89000000.0,-417000000.0,434000000.0
Dividends Paid,-4645000000.0,-4652000000.0,-4206000000.0,-4214000000.0
Change To Inventory,-279000000.0,394000000.0,-777000000.0,-388000000.0
Change To Account Receivables,857000000.0,-5543000000.0,10486000000.0,-11606000000.0
Other Cashflows From Financing Activities,-158000000.0,-192000000.0,-172000000.0,-430000000.0
Change To Netincome,1813000000.0,1773000000.0,-4632000000.0,1907000000.0
Capital Expenditures,-5340000000.0,-5865000000.0,-5810000000.0,-6452000000.0
