,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Research Development,6306000000.0,5758000000.0,5599000000.0,5687000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,20190000000.0,22515000000.0,20524000000.0,19405000000.0
Minority Interest,,,,
Net Income,16728000000.0,18765000000.0,20505000000.0,16458000000.0
Selling General Administrative,7075000000.0,6763000000.0,5834000000.0,7379000000.0
Gross Profit,33745000000.0,34768000000.0,31671000000.0,32161000000.0
Ebit,20364000000.0,22247000000.0,20238000000.0,19095000000.0
Operating Income,20364000000.0,22247000000.0,20238000000.0,19095000000.0
Other Operating Expenses,,,,
Interest Expense,-499000000.0,-521000000.0,-535000000.0,-549000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3462000000.0,3750000000.0,19000000.0,2947000000.0
Total Revenue,49360000000.0,51728000000.0,45317000000.0,46152000000.0
Total Operating Expenses,28996000000.0,29481000000.0,25079000000.0,27057000000.0
Cost Of Revenue,15615000000.0,16960000000.0,13646000000.0,13991000000.0
Total Other Income Expense Net,-174000000.0,268000000.0,286000000.0,310000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,16728000000.0,18765000000.0,20505000000.0,16458000000.0
Net Income Applicable To Common Shares,16728000000.0,18765000000.0,20505000000.0,16458000000.0
